symbol,action,date,price,shares,pnl_pct,reason,entry_date,entry_price
002488,SELL,20240906,7.35,2000,5.150214592274669,REBALANCE,20240902,6.99
002072,SELL,20240906,4.64,3200,6.178489702517152,REBALANCE,20240902,4.37
002388,BUY,20240909,5.41,2600,0.0,REBALANCE,20240909,5.41
000908,BUY,20240909,4.81,2900,0.0,REBALANCE,20240909,4.81
300386,BUY,20240909,9.68,1400,0.0,REBALANCE,20240909,9.68
300333,BUY,20240909,5.33,2600,0.0,REBALANCE,20240909,5.33
300473,BUY,20240909,18.35,700,0.0,REBALANCE,20240909,18.35
300068,BUY,20240909,12.21,1100,0.0,REBALANCE,20240909,12.21
001298,BUY,20240909,33.02,400,0.0,REBALANCE,20240909,33.02
600552,BUY,20240909,14.45,900,0.0,REBALANCE,20240909,14.45
300310,BUY,20240909,5.17,2700,0.0,REBALANCE,20240909,5.17
605218,BUY,20240909,24.41,500,0.0,REBALANCE,20240909,24.41
002520,BUY,20240909,5.9,2400,0.0,REBALANCE,20240909,5.9
603626,BUY,20240909,14.53,900,0.0,REBALANCE,20240909,14.53
000851,BUY,20240909,3.36,4200,0.0,REBALANCE,20240909,3.36
300209,BUY,20240909,4.53,3100,0.0,REBALANCE,20240909,4.53
000062,SELL,20240909,37.4,500,33.57142857142857,TRAILING_STOP,20240902,28.0
300068,SELL,20240909,12.03,1100,-1.4742014742014864,TRAILING_STOP,20240909,12.21
600552,SELL,20240909,13.11,900,-9.273356401384083,STOP_LOSS,20240909,14.45
300310,SELL,20240909,5.25,2700,1.547388781431336,TRAILING_STOP,20240909,5.17
605218,SELL,20240909,24.41,500,0.0,TRAILING_STOP,20240909,24.41
603626,SELL,20240909,11.89,900,-18.169304886441836,STOP_LOSS,20240909,14.53
002388,SELL,20240910,4.87,2600,-9.981515711645102,STOP_LOSS,20240909,5.41
300386,SELL,20240910,9.41,1400,-2.789256198347103,TRAILING_STOP,20240909,9.68
001298,SELL,20240910,28.49,400,-13.718958207147198,STOP_LOSS,20240909,33.02
002520,SELL,20240910,5.37,2400,-8.983050847457632,STOP_LOSS,20240909,5.9
000851,SELL,20240910,3.02,4200,-10.119047619047615,STOP_LOSS,20240909,3.36
000908,SELL,20240911,4.34,2900,-9.771309771309767,STOP_LOSS,20240909,4.81
300473,SELL,20240912,16.78,700,-8.555858310626704,STOP_LOSS,20240909,18.35
300209,SELL,20240912,3.88,3100,-14.348785871964687,STOP_LOSS,20240909,4.53
300333,SELL,20240913,5.2,2600,-2.4390243902439006,MARKET_EXIT,20240909,5.33
300072,BUY,20240930,3.59,3600,0.0,REBALANCE,20240930,3.59
300746,BUY,20240930,16.68,700,0.0,REBALANCE,20240930,16.68
000595,BUY,20240930,7.0,1800,0.0,REBALANCE,20240930,7.0
600550,BUY,20240930,9.05,1400,0.0,REBALANCE,20240930,9.05
300085,BUY,20240930,32.81,300,0.0,REBALANCE,20240930,32.81
000627,BUY,20240930,3.61,3600,0.0,REBALANCE,20240930,3.61
300925,BUY,20240930,19.5,600,0.0,REBALANCE,20240930,19.5
300803,BUY,20240930,76.6,100,0.0,REBALANCE,20240930,76.6
300377,BUY,20240930,11.17,1100,0.0,REBALANCE,20240930,11.17
001236,BUY,20240930,12.52,1000,0.0,REBALANCE,20240930,12.52
300399,BUY,20240930,17.59,700,0.0,REBALANCE,20240930,17.59
300561,BUY,20240930,18.05,700,0.0,REBALANCE,20240930,18.05
000158,BUY,20240930,12.25,1000,0.0,REBALANCE,20240930,12.25
300061,BUY,20240930,10.97,1100,0.0,REBALANCE,20240930,10.97
601162,BUY,20240930,4.39,2900,0.0,REBALANCE,20240930,4.39
300072,SELL,20241008,4.62,3600,28.6908077994429,TRAILING_STOP,20240930,3.59
000595,SELL,20241008,8.34,1800,19.142857142857142,TRAILING_STOP,20240930,7.0
300746,SELL,20241009,18.15,700,8.812949640287764,TRAILING_STOP,20240930,16.68
600550,SELL,20241009,9.69,1400,7.071823204419876,TRAILING_STOP,20240930,9.05
000627,SELL,20241009,3.67,3600,1.6620498614958463,TRAILING_STOP,20240930,3.61
300803,SELL,20241009,87.11,100,13.720626631853793,TRAILING_STOP,20240930,76.6
001236,SELL,20241009,13.14,1000,4.952076677316302,TRAILING_STOP,20240930,12.52
300399,SELL,20241009,23.57,700,33.99658897100626,TRAILING_STOP,20240930,17.59
300561,SELL,20241009,23.95,700,32.68698060941828,TRAILING_STOP,20240930,18.05
300061,SELL,20241009,14.3,1100,30.355515041020965,TRAILING_STOP,20240930,10.97
300085,SELL,20241010,37.76,300,15.086863761048447,TRAILING_STOP,20240930,32.81
300925,SELL,20241010,25.1,600,28.717948717948726,TRAILING_STOP,20240930,19.5
300377,SELL,20241010,12.86,1100,15.129811996418974,TRAILING_STOP,20240930,11.17
601162,SELL,20241010,4.78,2900,8.883826879271083,TRAILING_STOP,20240930,4.39
300746,BUY,20241014,14.7,1000,0.0,REBALANCE,20241014,14.7
300380,BUY,20241014,35.02,400,0.0,REBALANCE,20241014,35.02
000595,BUY,20241014,9.75,1500,0.0,REBALANCE,20241014,9.75
300085,BUY,20241014,30.98,400,0.0,REBALANCE,20241014,30.98
